mission_id,freelancer_id,skill_match_score,has_worked_with_client_before,times_worked_with_client,was_preselected,price,industry,label
2,12,1,true,2,false,2881,Tech,1
2,2,0,false,0,false,2881,Tech,0
2,3,0,false,0,false,2881,Tech,0
2,4,0,false,0,false,2881,Tech,0
3,11,1,true,1,false,1739,Marketing,1
3,2,0,false,0,false,1739,Marketing,0
3,3,0.5,true,1,false,1739,Marketing,0
3,4,0,false,0,false,1739,Marketing,0
4,5,0.6666666666666666,true,1,false,2899,Tech,1
4,2,0,true,1,false,2899,Tech,0
4,3,0,false,0,false,2899,Tech,0
4,4,0.3333333333333333,false,0,false,2899,Tech,0
5,19,1,true,1,false,4143,Marketing,1
5,2,0,false,0,false,4143,Marketing,0
5,3,0.5,false,0,false,4143,Marketing,0
5,4,0,false,0,false,4143,Marketing,0
6,2,0.6666666666666666,true,1,false,3189,Tech,1
6,3,0.3333333333333333,false,0,false,3189,Tech,0
6,4,0,false,0,false,3189,Tech,0
6,5,0.3333333333333333,false,0,false,3189,Tech,0
7,9,1,true,2,false,1559,Marketing,1
7,2,0,false,0,false,1559,Marketing,0
7,3,0,true,2,false,1559,Marketing,0
7,4,0,false,0,false,1559,Marketing,0
8,19,0.75,true,1,false,4071,Tech,1
8,2,0.25,true,1,false,4071,Tech,0
8,3,0.5,false,0,false,4071,Tech,0
8,4,0.25,false,0,false,4071,Tech,0
9,12,0.6,true,2,false,3299,Marketing,1
9,2,0.2,true,1,false,3299,Marketing,0
9,3,0.2,false,0,false,3299,Marketing,0
9,4,0.2,false,0,false,3299,Marketing,0
10,2,0.5,true,1,false,2452,Tech,1
10,3,0.5,true,1,false,2452,Tech,0
10,4,0.5,false,0,false,2452,Tech,0
10,5,0,false,0,false,2452,Tech,0
11,30,1,true,1,false,2951,Marketing,1
11,2,0.6666666666666666,false,0,false,2951,Marketing,0
11,3,0.3333333333333333,true,1,false,2951,Marketing,0
11,4,0.3333333333333333,false,0,false,2951,Marketing,0
12,12,0.6666666666666666,true,2,false,4515,Tech,1
12,2,0,false,0,false,4515,Tech,0
12,3,0,false,0,false,4515,Tech,0
12,4,0.3333333333333333,false,0,false,4515,Tech,0
13,19,0.6666666666666666,true,1,false,949,Marketing,1
13,2,0.3333333333333333,false,0,false,949,Marketing,0
13,3,0.3333333333333333,true,1,false,949,Marketing,0
13,4,0,false,0,false,949,Marketing,0
14,11,1,true,2,false,3102,Tech,1
14,2,0,true,1,false,3102,Tech,0
14,3,0.3333333333333333,false,0,false,3102,Tech,0
14,4,0,false,0,false,3102,Tech,0
15,25,1,true,1,false,3225,Marketing,1
15,2,0,false,0,false,3225,Marketing,0
15,3,0,false,0,false,3225,Marketing,0
15,4,0.3333333333333333,false,0,false,3225,Marketing,0
16,11,0.6,true,1,false,3138,Tech,1
16,2,0,true,1,false,3138,Tech,0
16,3,0.2,false,0,false,3138,Tech,0
16,4,0,false,0,false,3138,Tech,0
17,3,0.5,true,2,false,1781,Marketing,1
17,2,0,false,0,false,1781,Marketing,0
17,4,0,false,0,false,1781,Marketing,0
17,5,0,false,0,false,1781,Marketing,0
18,6,0.6666666666666666,true,1,false,787,Tech,1
18,2,0.3333333333333333,true,1,false,787,Tech,0
18,3,0.3333333333333333,false,0,false,787,Tech,0
18,4,0,false,0,false,787,Tech,0
19,12,0.6666666666666666,true,2,false,4822,Marketing,1
19,2,0,true,1,false,4822,Marketing,0
19,3,0,false,0,false,4822,Marketing,0
19,4,0,false,0,false,4822,Marketing,0
20,25,1,true,1,false,1671,Tech,1
20,2,0.5,true,1,false,1671,Tech,0
20,3,0,true,1,false,1671,Tech,0
20,4,0.5,false,0,false,1671,Tech,0
21,12,0.6,true,1,false,1492,Marketing,1
21,2,0,false,0,false,1492,Marketing,0
21,3,0,true,1,false,1492,Marketing,0
21,4,0.2,false,0,false,1492,Marketing,0
22,18,0.6666666666666666,true,2,false,871,Tech,1
22,2,0,false,0,false,871,Tech,0
22,3,0,false,0,false,871,Tech,0
22,4,0.3333333333333333,false,0,false,871,Tech,0
23,3,0.5,true,1,false,806,Marketing,1
23,2,0,false,0,false,806,Marketing,0
23,4,0,false,0,false,806,Marketing,0
23,5,0,false,0,false,806,Marketing,0
24,2,0.3333333333333333,true,1,false,4915,Tech,1
24,3,0,false,0,false,4915,Tech,0
24,4,0.3333333333333333,false,0,false,4915,Tech,0
24,5,0.3333333333333333,true,1,false,4915,Tech,0
25,11,1,true,1,false,1911,Marketing,1
25,2,0,false,0,false,1911,Marketing,0
25,3,0,false,0,false,1911,Marketing,0
25,4,0,false,0,false,1911,Marketing,0
26,14,1,true,1,false,3889,Tech,1
26,2,0.5,true,1,false,3889,Tech,0
26,3,0.5,false,0,false,3889,Tech,0
26,4,0,false,0,false,3889,Tech,0
27,3,1,true,2,false,2806,Marketing,1
27,2,0.5,false,0,false,2806,Marketing,0
27,4,1,false,0,false,2806,Marketing,0
27,5,0.5,false,0,false,2806,Marketing,0
28,2,0.5,true,1,false,3118,Tech,1
28,3,0.25,false,0,false,3118,Tech,0
28,4,0.25,false,0,false,3118,Tech,0
28,5,0.5,false,0,false,3118,Tech,0
29,27,1,true,1,false,2125,Marketing,1
29,2,0,true,1,false,2125,Marketing,0
29,3,0,false,0,false,2125,Marketing,0
29,4,0,false,0,false,2125,Marketing,0
30,30,1,true,1,false,2789,Tech,1
30,2,0,true,1,false,2789,Tech,0
30,3,0,true,1,false,2789,Tech,0
30,4,0.3333333333333333,false,0,false,2789,Tech,0
31,3,1,true,1,false,2262,Marketing,1
31,2,0,false,0,false,2262,Marketing,0
31,4,0.5,false,0,false,2262,Marketing,0
31,5,0,false,0,false,2262,Marketing,0
32,18,0.75,true,2,false,2697,Tech,1
32,2,0,false,0,false,2697,Tech,0
32,3,0.25,false,0,false,2697,Tech,0
32,4,0.25,false,0,false,2697,Tech,0
33,9,1,true,1,false,1965,Marketing,1
33,2,0,false,0,false,1965,Marketing,0
33,3,0,true,1,false,1965,Marketing,0
33,4,0.5,false,0,false,1965,Marketing,0
34,11,0.5,true,2,false,2473,Tech,1
34,2,0,true,1,false,2473,Tech,0
34,3,0,false,0,false,2473,Tech,0
34,4,0,false,0,false,2473,Tech,0
35,6,0.6,true,1,false,3514,Marketing,1
35,2,0,false,0,false,3514,Marketing,0
35,3,0.2,false,0,false,3514,Marketing,0
35,4,0.2,false,0,false,3514,Marketing,0
36,10,1,true,1,false,4217,Tech,1
36,2,0,true,1,false,4217,Tech,0
36,3,0.5,false,0,false,4217,Tech,0
36,4,0.5,false,0,false,4217,Tech,0
37,9,1,true,2,false,2535,Marketing,1
37,2,0,false,0,false,2535,Marketing,0
37,3,0.5,true,2,false,2535,Marketing,0
37,4,0,false,0,false,2535,Marketing,0
38,8,0.4,true,1,false,572,Tech,1
38,2,0.2,true,1,false,572,Tech,0
38,3,0.2,false,0,false,572,Tech,0
38,4,0,false,0,false,572,Tech,0
39,2,0.5,true,1,false,1728,Marketing,1
39,3,0,false,0,false,1728,Marketing,0
39,4,0,false,0,false,1728,Marketing,0
39,5,0.5,false,0,false,1728,Marketing,0
40,3,0.75,true,1,false,2942,Tech,1
40,2,0.25,true,1,false,2942,Tech,0
40,4,0.25,false,0,false,2942,Tech,0
40,5,0.25,false,0,false,2942,Tech,0
41,6,0.75,true,1,false,2804,Marketing,1
41,2,0.25,false,0,false,2804,Marketing,0
41,3,0.25,true,1,false,2804,Marketing,0
41,4,0,false,0,false,2804,Marketing,0